Ward,Households,Total_Pop,Tot_Male,Tot_Female,Tot_Literate,Male_Literate,Female_Literate,Tot_Illiterate,Male_Illiterate,Female_Illiterate,Tot_0-6,Male_0-6,Female_0-6,Ward_office,Ward_name
 Ward No.74,3219,15586,7631,7955,12523,6441,6082,3063,1190,1873,1499,761,738,Bhavanipeth ,Rajewadi
 Ward No.75,3104,15272,7484,7788,12660,6375,6285,2612,1109,1503,1479,788,691,Bhavanipeth ,Harkanagar
 Ward No.76,3409,17454,8847,8607,12957,6963,5994,4497,1884,2613,2058,1073,985,Bhavanipeth ,Jonral Arunkumar vaidya Stedium
 Ward No.77,3545,17270,8585,8685,13898,7168,6730,3372,1417,1955,1689,899,790,Bhavanipeth ,Doke Talim
 Ward No.78,2993,14997,7506,7491,12422,6374,6048,2575,1132,1443,1498,756,742,Bhavanipeth ,Swami Samarth Mandir Ganesh peth 
 Ward No.79,3065,13707,6909,6798,11803,6087,5716,1904,822,1082,1134,634,500,Kasbavishrambaug,Dr.Kotnis Davakhana
 Ward No.80,3528,13647,6805,6842,12216,6209,6007,1431,596,835,832,438,394,Kasbavishrambaug,Renuka Swarup Prashala
 Ward No.81,3412,13271,6599,6672,11195,5692,5503,2076,907,1169,913,462,451,Kasbavishrambaug,S.P.Collage
 Ward No.82,3203,14026,6996,7030,12011,6092,5919,2015,904,1111,1066,568,498,Kasbavishrambaug,Subhashnagar
 Ward No.83,2822,12547,6348,6199,10489,5380,5109,2058,968,1090,1073,606,467,Bhavanipeth ,Ghorpade Udhyan
 Ward No.84,3726,18332,9130,9202,15106,7725,7381,3226,1405,1821,1884,969,915,Kasbavishrambaug,Panch Houd Mission
 Ward No.85,3132,15688,7779,7909,11902,6228,5674,3786,1551,2235,1661,852,809,Bhavanipeth ,Mahatma Phule Smark (Samata Bhumi)
 Ward No.86,3671,18598,9128,9470,13482,6984,6498,5116,2144,2972,2403,1211,1192,Bhavanipeth ,Lohianagar
 Ward No.87,2808,14636,7402,7234,11015,5810,5205,3621,1592,2029,1843,945,898,Bhavanipeth ,Ekbote Colony
 Ward No.88,3499,18491,9256,9235,13312,7152,6160,5179,2104,3075,2373,1208,1165,Bhavanipeth ,Gurunanak Nagar
 Ward No.89,5924,23689,11938,11751,20712,10572,10140,2977,1366,1611,2168,1140,1028,Hadapsar,Wawadi Gaon
 Ward No.90,4455,20519,10519,10000,14146,7816,6330,6373,2703,3670,2749,1470,1279,Hadapsar,Ramtekdi
 Ward No.91,5403,22367,11652,10715,18052,9677,8375,4315,1975,2340,2577,1394,1183,Hadapsar,Hadapsar Gaon
 Ward No.92,5013,20509,10573,9936,16361,8672,7689,4148,1901,2247,2400,1283,1117,Hadapsar,Glayding Center
 Ward No.93,7007,28638,15208,13430,23569,12847,10722,5069,2361,2708,3251,1784,1467,Hadapsar,Sadhana Vidhylaya
 Ward No.94,5324,21840,11428,10412,18192,9710,8482,3648,1718,1930,2596,1376,1220,Hadapsar,Satavwadi
 Ward No.95,11096,44802,23620,21182,35066,18965,16101,9736,4655,5081,6276,3361,2915,Hadapsar,Kaleborate Nagar
 Ward No.96,9982,44269,23099,21170,32093,17450,14643,12176,5649,6527,6596,3426,3170,Hadapsar,Mahamodwadi
 Ward No.97,7336,28491,14397,14094,24133,12329,11804,4358,2068,2290,2507,1310,1197,Bibvewadi,Mahadji Shinde Chatri
 Ward No.98,3993,18311,9186,9125,13832,7215,6617,4479,1971,2508,1920,986,934,Sahakarnagar,Salasbari Park
 Ward No.99,4071,18474,9223,9251,13559,7117,6442,4915,2106,2809,2150,1072,1078,Sahakarnagar,Tilak Maharashtra Vidhyapeeth
